timestamp,latitude,longitude,air_quality_index,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-01-01T02:43:45,33.6844,73.0479,5,4112.24,44.26,98.71,0.0,12.04,160.36,203.04,28.37
2024-01-01T03:45:18,33.6844,73.0479,5,3631.59,2.63,183.7,8.85,17.4,90.17,106.73,19.51
2024-01-01T07:53:28,33.6844,73.0479,5,2857.21,26.15,64.43,0.11,17.4,151.1,185.73,42.56
2024-01-01T09:17:47,33.6844,73.0479,2,1321.79,3.58,30.85,44.35,6.2,12.31,13.75,3.23
2024-01-01T09:23:14,33.6844,73.0479,4,2456.67,11.73,104.19,110.15,18.36,74.87,99.33,15.83
2024-01-01T12:05:41,33.6844,73.0479,5,1976.01,2.32,56.21,5.68,5.96,118.43,143.16,32.93
2024-01-01T12:59:19,33.6844,73.0479,4,1628.88,0.8,47.98,8.23,3.78,63.1,88.26,10.13
2024-01-01T21:41:58,33.6844,73.0479,2,567.44,0.18,15.94,90.84,8.46,8.39,10.15,6.97
2024-01-01T23:52:44,33.6844,73.0479,5,2002.72,0.0,64.43,76.53,9.66,106.7,128.16,28.63
2024-01-02T00:14:30,33.6844,73.0479,3,1695.63,1.79,65.12,5.1,9.42,46.18,52.7,9.12
2024-01-02T03:54:58,33.6844,73.0479,5,3524.78,54.54,93.22,31.11,13.59,109.3,140.81,23.56
2024-01-02T05:10:21,33.6844,73.0479,5,2136.23,16.32,69.92,101.57,19.31,111.45,130.32,13.81
2024-01-02T07:16:43,33.6844,73.0479,3,687.6,2.74,14.05,125.89,15.26,25.04,29.64,5.7
2024-01-02T07:18:40,33.6844,73.0479,5,1869.2,0.44,63.06,9.83,4.59,87.06,106.99,17.48
2024-01-02T07:25:36,33.6844,73.0479,3,567.44,2.4,13.71,125.89,10.01,10.89,15.11,6.65
2024-01-02T08:32:51,33.6844,73.0479,5,3177.64,36.66,75.4,0.0,6.74,103.66,137.25,20.01
2024-01-02T10:26:48,33.6844,73.0479,5,3578.19,64.37,79.51,29.33,10.61,143.48,173.96,38.5
2024-01-02T10:50:03,33.6844,73.0479,4,3124.24,47.39,100.08,0.0,12.28,53.71,71.7,51.68
2024-01-02T12:53:22,33.6844,73.0479,4,540.73,0.57,5.27,163.08,11.68,31.4,43.19,6.08
2024-01-02T14:07:16,33.6844,73.0479,5,370.5,0.64,7.03,200.27,10.73,25.17,46.28,4.43
2024-01-02T15:22:07,33.6844,73.0479,5,2136.23,5.87,79.51,16.81,10.49,75.37,87.64,27.61
2024-01-02T16:28:45,33.6844,73.0479,3,1815.8,4.36,61.69,2.48,3.49,41.87,46.96,13.17
2024-01-02T16:52:24,33.6844,73.0479,4,3177.64,43.36,94.59,0.0,9.42,73.87,91.82,42.56
2024-01-02T16:53:24,33.6844,73.0479,5,2723.69,0.01,105.56,47.21,12.99,148.89,180.58,20.27
2024-01-02T17:41:43,33.6844,73.0479,5,1001.36,2.01,32.9,167.37,10.49,78.22,90.24,29.13
2024-01-02T20:34:51,33.6844,73.0479,1,640.87,0.0,12.85,30.76,3.19,6.51,8.54,6.02
2024-01-02T22:49:54,33.6844,73.0479,3,2056.12,27.72,40.78,0.0,6.26,27.92,33.12,9.75
2024-01-02T23:03:04,33.6844,73.0479,5,3952.03,21.46,142.57,0.04,15.74,98.06,127.41,30.91
2024-01-02T23:38:33,33.6844,73.0479,4,627.52,0.57,6.0,140.19,9.54,20.01,20.91,3.32
2024-01-03T00:32:16,33.6844,73.0479,4,300.41,0.45,3.26,147.34,3.37,16.72,41.09,2.15
2024-01-03T01:22:38,33.6844,73.0479,5,4806.52,79.57,134.35,0.0,20.5,131.71,173.28,39.52
2024-01-03T02:37:39,33.6844,73.0479,5,741.0,0.67,7.37,200.27,24.32,49.47,65.51,4.5
2024-01-03T04:08:13,33.6844,73.0479,5,3391.27,26.82,111.04,127.32,16.45,108.13,129.09,42.05
2024-01-03T05:55:29,33.6844,73.0479,4,814.44,3.38,22.28,153.06,11.09,24.52,35.53,11.15
2024-01-03T06:37:22,33.6844,73.0479,5,1588.82,0.02,52.09,31.83,3.34,84.94,117.13,14.06
2024-01-03T11:16:13,33.6844,73.0479,3,614.17,0.64,17.31,100.14,6.91,17.07,19.72,9.88
2024-01-03T13:21:43,33.6844,73.0479,5,4379.27,74.21,80.88,5.81,19.07,143.81,198.4,45.09
2024-01-03T14:21:19,33.6844,73.0479,5,2777.1,32.19,56.21,32.54,11.44,118.83,147.41,29.13
2024-01-03T14:47:37,33.6844,73.0479,5,4699.71,75.1,122.01,0.0,13.71,115.85,162.6,30.65
2024-01-03T17:21:09,33.6844,73.0479,5,4379.27,59.01,137.09,2.37,17.4,95.84,134.2,26.6
2024-01-03T18:26:41,33.6844,73.0479,4,1335.14,0.0,39.07,36.84,2.65,67.03,93.2,12.54
2024-01-03T19:33:01,33.6844,73.0479,3,2777.1,14.98,127.49,9.21,9.89,44.4,65.62,19.25
2024-01-03T20:17:49,33.6844,73.0479,4,447.27,1.01,10.97,153.06,7.63,13.01,19.28,4.12
2024-01-03T22:14:47,33.6844,73.0479,4,2723.69,2.82,98.71,4.47,7.57,70.15,83.23,23.31
2024-01-04T03:20:52,33.6844,73.0479,3,1268.39,0.01,34.27,25.75,6.85,35.04,37.57,4.81
2024-01-04T09:41:47,33.6844,73.0479,3,3685.0,38.89,127.49,0.0,14.07,49.34,68.64,28.88
2024-01-04T10:39:52,33.6844,73.0479,4,687.6,0.01,6.68,133.04,7.39,51.47,57.63,10.13
2024-01-04T12:55:32,33.6844,73.0479,4,707.63,1.56,11.65,144.48,11.68,26.27,34.38,5.13
2024-01-04T13:52:57,33.6844,73.0479,4,3044.13,30.85,100.08,0.0,8.7,58.67,77.95,27.11
2024-01-04T13:57:04,33.6844,73.0479,4,1562.12,0.0,40.1,42.56,5.19,56.85,63.13,12.41
2024-01-04T18:29:18,33.6844,73.0479,4,1949.31,1.51,86.37,63.66,7.87,55.59,66.85,16.72
2024-01-04T21:33:22,33.6844,73.0479,2,1068.12,0.0,28.45,80.82,6.56,23.06,25.62,6.65
2024-01-04T21:48:20,33.6844,73.0479,4,680.92,1.87,13.02,170.23,23.84,33.89,36.95,5.76
2024-01-04T22:38:57,33.6844,73.0479,5,627.52,0.64,12.68,194.55,16.69,66.69,81.49,10.01
2024-01-04T23:16:04,33.6844,73.0479,3,1321.79,0.31,62.38,14.66,6.44,32.05,53.95,21.79
2024-01-04T23:32:48,33.6844,73.0479,5,4539.49,64.37,120.64,0.0,9.89,136.95,169.37,22.04
2024-01-04T23:58:43,33.6844,73.0479,3,1415.25,3.13,51.41,37.19,7.33,35.03,48.16,20.01
2024-01-05T08:08:41,33.6844,73.0479,5,380.52,0.54,5.65,197.41,8.58,18.07,25.52,3.61
2024-01-05T09:24:50,33.6844,73.0479,5,2189.64,9.5,48.67,0.22,9.42,95.41,108.14,6.02
2024-01-05T09:34:34,33.6844,73.0479,5,4325.87,33.97,150.8,0.0,12.52,144.1,171.63,31.41
2024-01-05T11:44:08,33.6844,73.0479,3,1161.58,0.85,32.56,9.57,3.76,37.44,49.97,19.0
2024-01-05T12:02:39,33.6844,73.0479,5,647.54,0.64,7.2,185.97,11.09,38.08,44.91,5.07
2024-01-05T12:51:37,33.6844,73.0479,3,961.3,0.03,21.25,21.82,4.17,38.59,45.48,8.99
2024-01-05T14:28:53,33.6844,73.0479,5,1308.44,0.0,31.19,33.62,6.74,85.46,116.76,23.56
2024-01-05T14:57:09,33.6844,73.0479,4,1361.85,0.0,18.85,45.06,5.9,73.58,83.78,6.59
2024-01-05T15:44:45,33.6844,73.0479,5,741.0,0.66,6.6,197.41,9.66,62.7,83.17,10.01
2024-01-05T17:50:37,33.6844,73.0479,5,2777.1,1.26,86.37,4.69,15.5,134.03,168.63,54.72
2024-01-05T22:12:54,33.6844,73.0479,4,2723.69,0.05,90.48,85.83,26.46,61.23,64.82,8.99
2024-01-05T22:51:36,33.6844,73.0479,4,487.33,0.88,5.91,151.63,8.23,20.27,23.88,9.63
2024-01-05T23:20:40,33.6844,73.0479,4,447.27,0.87,6.51,160.22,6.74,24.89,29.59,9.88
2024-01-05T23:31:52,33.6844,73.0479,5,4432.68,49.62,123.38,0.0,12.04,152.04,192.43,29.89
2024-01-06T03:47:54,33.6844,73.0479,2,841.14,1.93,22.96,61.51,7.87,10.13,11.92,5.26
2024-01-06T04:03:51,33.6844,73.0479,5,5767.82,76.89,131.61,0.0,15.97,123.98,144.55,49.14
2024-01-06T07:22:26,33.6844,73.0479,4,447.27,0.71,6.77,171.66,16.45,30.85,45.54,3.64
2024-01-06T08:00:32,33.6844,73.0479,4,680.92,0.91,9.85,174.52,5.9,34.16,36.53,6.59
2024-01-06T08:00:37,33.6844,73.0479,4,1255.04,0.03,32.9,23.96,5.07,57.8,62.96,10.13
2024-01-06T15:33:20,33.6844,73.0479,2,674.25,0.0,10.02,65.09,7.87,19.23,20.7,5.07
2024-01-06T17:25:25,33.6844,73.0479,5,3952.03,59.9,66.49,0.0,15.74,81.08,89.68,27.36
2024-01-06T18:42:12,33.6844,73.0479,4,1869.2,7.82,80.2,70.81,16.69,60.43,80.92,14.57
2024-01-06T18:57:07,33.6844,73.0479,3,2937.32,32.19,111.04,0.54,12.04,41.92,55.55,33.94
2024-01-06T19:23:56,33.6844,73.0479,3,714.3,1.54,14.91,127.32,21.7,36.45,46.5,3.07
2024-01-06T20:17:36,33.6844,73.0479,4,700.95,2.1,15.25,165.94,8.23,20.74,34.47,11.15
2024-01-06T20:48:36,33.6844,73.0479,3,2029.42,18.33,70.6,90.12,9.66,36.57,50.28,22.29
2024-01-06T23:52:36,33.6844,73.0479,5,410.56,0.6,5.48,205.99,8.82,18.84,26.77,5.45
2024-01-07T00:08:34,33.6844,73.0479,4,714.3,2.01,12.51,174.52,13.95,48.87,55.42,20.52
2024-01-07T01:05:52,33.6844,73.0479,4,647.54,0.77,8.65,167.37,16.69,27.98,34.85,5.51
2024-01-07T05:57:43,33.6844,73.0479,4,1148.22,0.0,11.48,70.81,8.7,57.7,60.42,4.69
2024-01-07T10:09:11,33.6844,73.0479,5,1375.2,0.0,23.65,68.66,4.71,87.66,101.55,8.23
2024-01-07T10:18:51,33.6844,73.0479,3,694.27,0.49,12.17,103.0,9.89,6.31,7.07,4.24
2024-01-07T11:12:50,33.6844,73.0479,4,747.68,0.0,9.17,82.97,4.71,63.15,73.46,6.9
2024-01-07T11:15:26,33.6844,73.0479,3,2723.69,9.61,120.64,0.77,12.04,35.98,51.68,23.31
2024-01-07T11:17:19,33.6844,73.0479,3,3311.16,34.87,98.71,0.86,15.97,27.25,30.84,10.89
2024-01-07T11:51:44,33.6844,73.0479,4,494.0,1.08,6.77,165.94,8.7,19.58,25.53,6.02
2024-01-07T16:56:41,33.6844,73.0479,3,2376.56,4.69,94.59,3.62,11.92,37.91,54.26,25.59
2024-01-07T17:05:24,33.6844,73.0479,3,1375.2,0.0,23.65,40.41,8.11,48.96,53.32,8.99
